State,District,Total Population,Households,Total Working Population,Electricity_Deprivation,Average Household Size,Electricity Access,Average Annual Income,MPI,Headcount_Ratio (H)
Madhya Pradesh,Satna,2228935,478741,911349,9.80395,4.655826428068622,90.19605,61330.792508529856,0.15896363,38.482607
Madhya Pradesh,Sehore,1311332,257311,586087,1.71513,5.096292035707762,98.28487,67041.03156180128,0.13505029,30.91551
Madhya Pradesh,Seoni,1379131,314767,684434,16.06085,4.381434521407899,83.93915,74441.87680503157,0.21422763,50.903277
Madhya Pradesh,Shahdol,1066063,251452,493057,22.37731,4.239628239186803,77.62269,69375.40276700346,0.22021077,50.837692
Madhya Pradesh,Shajapur,1512681,300025,717871,2.75586,5.04184984584618,97.24414,71185.29947821121,0.17458191,40.977338
Madhya Pradesh,Sheopur,687861,146043,277455,16.369529999999997,4.709989523633451,83.63047,60503.86633345981,0.25841014,55.493377
Madhya Pradesh,Shivpuri,1726050,359969,759281,12.1408,4.794996235786971,87.8592,65984.27044407751,0.21917612,49.226713
Madhya Pradesh,Sidhi,1127033,238448,461760,21.65833,4.726535764611152,78.34167,61456.940480003694,0.25506239,57.378317
Madhya Pradesh,Singrauli,1178273,243925,499439,29.84308,4.83047248129548,70.15692,63581.06313222827,0.26996569,57.366451
Madhya Pradesh,Tikamgarh,1445166,296116,655318,13.60649,4.8804049764281565,86.39350999999999,68018.27610115378,0.21306332,49.073526
Madhya Pradesh,Ujjain,1986864,391438,897442,2.4866200000000003,5.075807663027095,97.51338,67753.15270697944,0.1297657,30.246641
Madhya Pradesh,Umaria,644758,145024,289691,19.41084,4.445871028243601,80.58915999999999,67395.28629346204,0.22042327,51.211268
Madhya Pradesh,Vidisha,1458875,299676,550402,14.42043,4.868174294905164,85.57957,56591.757347271014,0.21328194,46.591022
Maharashtra,Ahmadnagar,4543159,930024,2204590,6.16537,4.884991140013591,93.83463,72788.22951166799,0.06827572,16.756054000000002
Maharashtra,Akola,1813906,395690,768154,5.06064,4.584159316636761,94.93936,63522.089898815044,0.06628853,17.615624
Maharashtra,Amravati,2888445,647451,1236322,6.39893,4.461256527521002,93.60106999999999,64203.5074235445,0.06608584,17.181532999999998
Maharashtra,Aurangabad,3701282,751915,1575079,2.99518,4.9224739498480545,97.00482,63832.43697724194,0.0662787,16.412408
Maharashtra,Bhandara,1200334,278076,597305,2.71723,4.316568132452998,97.28277,74642.34954604303,0.04606593,12.067145
Maharashtra,Bid,2585049,535835,1255548,8.21749,4.8243377159013505,91.78251,72854.40237303045,0.10208743,24.766039
Maharashtra,Buldana,2586258,561504,1219641,3.3143100000000003,4.60594759787998,96.68569,70737.78022146282,0.09396297,23.150666
Maharashtra,Chandrapur,2204307,536686,1058172,7.81032,4.107256384552606,92.18968,72007.12060525145,0.09242811,22.468065
Maharashtra,Dhule,2050862,408874,936370,13.29609,5.01587775207032,86.70391000000001,68486.08048713175,0.16750633,36.621712
